item_activity,amount,date,farm_owner_id
goat Harvest,4017.81,23/04/24,48
irrigation system Investment,2821.03,28/08/22,56
cows Harvest,4577.73,19/02/24,31
fertilizer spreader Harvest,8716.21,16/02/22,62
fertilizer spreader Investment,3046.22,11/02/23,72
cotton Investment,4224.07,19/06/23,49
tea Harvest,7781.07,07/06/23,23
pulses Investment,7365.31,16/05/23,91
cow Harvest,4267.35,09/06/22,28
rice Harvest,7188.01,13/12/22,77
cows Investment,7139.18,06/12/22,46
rubber Investment,9710.11,31/01/22,6
coffee Investment,845.21,24/03/24,98
wheat Investment,891.79,13/05/22,7
turkey Investment,239.3,09/01/23,54
horse Investment,7244.91,25/04/23,28
fertilizer spreader Harvest,982.23,16/04/22,96
duck Investment,5957.7,21/09/22,55
irrigation system Investment,1365.19,22/04/23,92
fish Harvest,4612.21,30/03/23,40
maize Harvest,1432.19,12/11/23,33
horse Investment,4401.74,20/05/24,81
duck Harvest,8727.76,18/08/22,61
sugarcane Investment,5825.95,10/10/22,34
cow Harvest,3796.96,28/04/22,45
poultry Harvest,8562.87,11/02/23,87
buffalo Harvest,3147.32,30/04/24,88
maize Harvest,2266.3,07/09/22,19
horse Harvest,1868.49,24/02/24,68
goats Harvest,9842.83,07/02/24,58
millets Investment,7196.65,27/12/22,4
pulses Harvest,4581.11,07/03/24,26
cow Investment,7867.05,30/08/22,32
sugarcane Harvest,4963.14,22/08/22,65
fruit Investment,7689.25,30/09/23,31
irrigation system Harvest,6416.82,28/02/22,23
plough Harvest,1304.66,20/05/24,43
pulses Investment,9302.5,05/12/22,13
tractor Harvest,6328.9,05/11/23,4
buffalo Investment,7465.97,30/05/24,49
maize Investment,9149.34,07/03/23,16
cow Harvest,2853.58,08/05/23,86
poultry Harvest,2921.54,18/12/22,28
cow Harvest,9675.01,07/10/22,36
pig Investment,3276.92,20/08/23,34
maize Investment,7528.97,07/10/23,72
vegetable Harvest,5452.39,04/05/23,31
horse Investment,870.43,26/01/22,81
hen Investment,2901.19,21/04/23,67
fertilizer spreader Harvest,2290.96,13/06/23,85
horse Investment,6631.41,11/03/23,93
goat Harvest,1709.41,27/07/22,85
rice Investment,2892.74,12/09/22,62
coffee Investment,1362.28,27/04/23,33
wheat Investment,3714.69,07/06/23,7
fruit Investment,9812.91,18/05/22,3
cotton Harvest,4204.39,20/03/23,17
tea Investment,1165.46,17/05/22,24
fruit Harvest,4878.13,24/11/23,63
seed drill Harvest,6193.57,05/11/22,91
seed drill Harvest,3480.02,03/11/23,48
sugarcane Harvest,522.42,23/06/22,42
harvester Harvest,1049.54,19/10/22,89
rice Harvest,4849.38,22/04/24,49
goat Investment,1262.08,21/07/23,92
vegetable Investment,5321.84,24/07/22,89
groundnut Harvest,5888.58,13/02/23,53
buffalo Investment,4310.01,06/01/24,74
buffalo Investment,6977.48,09/09/23,34
vegetable Investment,2998.68,26/04/23,83
cow Harvest,3744.46,20/04/22,16
fertilizer spreader Investment,9361.18,03/07/22,81
rice Investment,2373.73,12/09/23,28
plough Harvest,5742.95,03/04/22,14
turkey Investment,3626.41,05/10/23,64
wheat Investment,6886.75,12/11/23,90
coconut Investment,9713.85,28/12/23,38
duck Harvest,6364.45,21/10/22,60
coconut Harvest,8459.49,19/03/23,97
hen Investment,749.29,22/05/23,69
millets Investment,3991.27,30/03/23,95
coffee Harvest,1808.55,04/08/23,29
pulses Harvest,2054.87,06/02/24,33
fertilizer spreader Investment,5301.52,08/01/22,42
cows Harvest,4924.02,11/03/22,69
sheep Harvest,3514.71,06/04/23,77
wheat Harvest,9575.02,05/12/23,73
poultry Harvest,5114.84,06/07/23,54
cows Investment,2681.42,23/03/23,42
maize Harvest,6773.84,11/06/24,73
turkey Investment,8893.17,01/05/22,18
coffee Investment,3990.82,18/04/23,98
buffalo Investment,4829.56,02/10/22,97
coconut Harvest,6532.39,30/09/23,67
fruit Investment,5827.37,18/11/23,68
poultry Investment,2512.7,01/02/22,12
tea Investment,444.77,13/10/22,8
irrigation system Investment,3791.11,22/02/23,62
millets Investment,3361.88,14/06/23,49
wheat Harvest,8171.25,17/05/22,81
duck Investment,441.12,18/09/22,70
fertilizer spreader Harvest,9460.45,24/08/23,32
cows Investment,9728.5,04/04/23,58
millets Harvest,5620.37,03/01/23,32
sprayer Harvest,2114.91,22/06/23,44
millets Investment,1522.51,19/11/23,27
turkey Investment,3805.92,24/01/24,41
duck Harvest,6762.36,06/12/23,3
coffee Harvest,2621.21,20/11/23,70
cow Harvest,744.54,10/03/24,49
sugarcane Investment,6741.53,28/05/23,64
tractor Investment,3574.86,21/12/22,29
pulses Harvest,3766.17,06/07/22,4
seed drill Investment,4157.27,19/06/24,66
poultry Investment,9402.23,15/11/23,28
hen Investment,5003.16,11/07/22,48
irrigation system Harvest,7241.3,25/01/23,8
hen Investment,5467.39,25/05/23,15
tractor Investment,4927.96,20/11/22,57
hen Investment,9617.64,09/02/22,6
fruit Investment,1811.09,06/02/22,43
wheat Harvest,2593.53,21/05/24,32
irrigation system Harvest,1840.16,19/09/23,16
poultry Harvest,2572.56,11/05/23,24
plough Harvest,1615.16,30/08/23,8
fish Harvest,6522.11,04/08/23,29
pig Investment,4326.31,22/01/22,100
cow Investment,4969.55,03/07/22,10
fish Harvest,8838.8,21/05/24,79
coconut Investment,1164.93,06/06/24,21
sheep Harvest,9367.95,02/02/22,79
seed drill Investment,2543.48,16/01/23,54
poultry Harvest,7171.55,20/12/23,82
horse Investment,766.19,10/12/22,38
goat Harvest,6215.83,19/01/24,7
sugarcane Investment,3132.4,09/12/23,36
cotton Harvest,7763.54,10/01/24,95
millets Harvest,1207.95,05/07/23,18
plough Harvest,6840.29,14/12/22,4
sprayer Harvest,6628.6,14/12/23,77
cotton Investment,4638.14,25/10/23,89
pulses Harvest,866.16,22/10/23,3
sugarcane Investment,6007.44,29/01/24,91
pig Investment,1607.92,05/06/23,54
coffee Harvest,6562.55,13/10/23,87
goat Harvest,8702.14,03/06/23,47
wheat Harvest,5085.89,27/01/23,45
vegetable Harvest,5186.45,25/04/24,41
cotton Investment,371.59,24/09/23,56
harvester Harvest,6151.43,17/09/23,95
pig Harvest,8716.49,19/08/22,49
harvester Harvest,6102.86,25/04/23,73
coffee Harvest,1951.46,19/02/23,51
horse Harvest,1363.2,26/08/22,40
tractor Harvest,5737.41,26/09/23,79
hen Investment,2972.46,04/11/23,24
coconut Investment,7015.23,16/01/24,33
duck Harvest,5969.51,16/04/23,7
pig Harvest,2539.65,08/01/24,97
groundnut Harvest,6213.02,21/04/24,76
hen Harvest,2688.96,22/01/23,1
tea Investment,7484.71,04/06/23,97
turkey Harvest,243.1,20/07/23,47
maize Harvest,1871,03/11/23,77
groundnut Harvest,3347.28,15/06/24,69
seed drill Harvest,1450.64,14/01/24,5
seed drill Investment,1218.63,29/12/22,63
millets Harvest,6592.5,24/12/22,40
cotton Harvest,2048.13,03/01/23,41
sprayer Harvest,6523.33,16/02/24,96
sheep Investment,143.61,20/04/24,51
wheat Investment,1635.01,19/07/22,63
millets Investment,2773.95,01/04/24,68
coffee Investment,4509.99,30/04/23,9
fertilizer spreader Investment,9091.11,18/07/23,98
goat Harvest,2266.82,02/03/23,71
sprayer Harvest,1444.89,08/02/24,91
goats Investment,7926.18,05/10/23,56
seed drill Harvest,7722.1,30/05/23,65
seed drill Harvest,8980.21,24/02/22,20
coffee Investment,8262.24,03/06/22,68
groundnut Investment,800.24,03/11/22,40
sheep Harvest,7078.84,14/09/23,60
wheat Harvest,7201.92,12/09/22,36
hen Harvest,3412,28/10/23,34
rubber Investment,5247.8,15/09/23,49
fertilizer spreader Investment,173.33,25/05/22,8
vegetable Investment,9580.98,02/02/24,96
cows Harvest,8228.84,27/05/23,43
goats Investment,2463.75,14/03/23,57
pulses Harvest,7070.73,26/04/24,77
coffee Investment,9190.88,05/02/23,49
plough Harvest,6327.71,01/02/24,61
tractor Harvest,8498.42,01/01/24,43
sugarcane Investment,3974.2,30/04/23,86
pulses Harvest,9350.07,28/03/24,5
pig Harvest,5687.7,18/02/22,87
turkey Harvest,2673.55,28/02/22,52
cows Harvest,6866.2,08/11/23,82
pulses Harvest,993.69,01/04/22,2
duck Investment,8812.17,29/12/22,27
hen Harvest,3817.48,13/02/24,92
horse Investment,8308.63,02/04/24,63
harvester Investment,4677.24,31/03/22,42
fertilizer spreader Harvest,7399.67,18/09/23,48
goats Investment,4929.31,21/07/23,44
fruit Harvest,7964.2,09/06/24,4
duck Harvest,2213.49,07/09/23,53
coconut Investment,4945.98,05/05/23,74
duck Investment,9099.39,08/11/22,67
tractor Investment,3628.86,12/05/23,73
irrigation system Harvest,4266.8,01/04/23,26
goats Investment,7844.85,20/04/22,69
groundnut Harvest,4029.63,14/07/22,21
rice Harvest,7110.94,09/04/22,66
sheep Investment,3667.24,12/05/22,64
cow Investment,9780.04,18/04/23,8
harvester Investment,7267.36,30/07/23,14
fish Investment,8726.4,13/04/22,40
vegetable Investment,7949.52,02/12/22,40
turkey Investment,8079.86,04/01/24,66
cow Investment,5800.44,02/06/22,94
fish Harvest,4456.21,23/06/22,16
fruit Harvest,7125.99,23/07/23,30
poultry Harvest,2974.99,09/03/22,82
turkey Harvest,6529.79,04/03/22,51
tractor Investment,6423.81,17/02/22,94
goats Harvest,7257.33,19/07/23,65
duck Harvest,2971.38,03/12/23,5
fertilizer spreader Harvest,1966.6,08/12/22,63
fish Investment,8204.68,17/02/23,25
turkey Investment,3029.17,02/12/22,92
sheep Harvest,2013.49,12/05/22,76
poultry Investment,4692.09,29/08/23,13
irrigation system Harvest,5445.51,23/05/22,43
rice Investment,3074.27,18/07/23,33
cow Harvest,4518.61,30/12/22,18
goat Investment,667.44,24/12/22,4
harvester Harvest,4194.16,22/04/22,74
vegetable Investment,289.38,10/08/23,57
tea Investment,8938.96,11/04/24,47
pig Harvest,9027.31,16/02/24,79
harvester Harvest,5017.26,01/09/22,76
sugarcane Harvest,4442.01,05/01/23,44
poultry Harvest,1566.11,04/02/22,50
goat Investment,249.22,16/05/24,23
tea Harvest,6541.59,28/02/24,48
buffalo Harvest,797.45,31/07/22,86
pig Investment,7919.12,01/11/23,32
irrigation system Investment,3439.82,20/09/22,3
vegetable Harvest,3085.96,14/11/22,33
tractor Investment,2886.16,07/02/23,39
sprayer Investment,5195.42,06/11/23,98
irrigation system Investment,3813.51,20/10/22,24
duck Harvest,6049.81,25/09/22,44
fruit Harvest,3687.81,10/07/23,98
buffalo Harvest,5224.89,24/12/22,12
pig Harvest,7275.3,07/02/22,59
sugarcane Harvest,1660.5,14/01/24,36
harvester Investment,4056.35,26/01/23,100
maize Harvest,342.14,07/10/23,56
poultry Investment,8423.48,19/06/24,98
fertilizer spreader Investment,9691.33,20/08/22,36
rubber Harvest,5637.4,12/10/22,8
sugarcane Investment,7004.89,16/05/24,60
coffee Harvest,338.96,30/06/23,6
coconut Investment,8579.52,14/01/23,38
wheat Harvest,8164.28,01/05/23,89
cows Harvest,5131.63,14/06/23,29
harvester Harvest,1591.53,13/06/23,60
harvester Investment,196.39,30/08/23,52
sheep Harvest,3705.75,15/07/22,3
poultry Harvest,5842.11,28/02/23,98
millets Harvest,6411.72,13/02/24,53
sheep Investment,4487.66,05/05/23,49
irrigation system Investment,3166.54,16/02/23,97
coffee Harvest,4300.22,14/01/22,35
coconut Investment,9594.26,01/04/22,31
pig Harvest,5167.48,12/08/22,11
seed drill Investment,5532.17,11/02/23,13
poultry Harvest,240.47,20/09/23,51
seed drill Harvest,7731.2,27/06/23,10
fish Investment,5230.57,17/11/23,42
wheat Harvest,6223.96,16/07/23,4
sprayer Investment,6657.51,19/03/24,65
plough Harvest,8159.37,14/02/22,81
sugarcane Harvest,7419.12,17/12/23,45
maize Investment,5926.72,02/10/23,75
coconut Investment,8592.18,10/05/23,22
tea Investment,4859.59,16/02/22,85
duck Investment,254.11,04/06/23,44
turkey Investment,2759.71,02/08/22,51
cotton Investment,865.57,23/09/22,43
fertilizer spreader Investment,8773.82,15/09/23,51
pulses Investment,6046.18,25/05/24,33
millets Investment,9527.09,28/09/23,37
seed drill Investment,8844.12,13/04/24,63
millets Harvest,6325.41,09/01/22,96
sugarcane Harvest,8840.65,14/06/22,64
goat Harvest,7192.68,11/08/22,91
buffalo Investment,1884.11,15/10/23,77
buffalo Harvest,3160.51,04/11/23,88
sheep Harvest,8572.44,02/03/24,71
cows Investment,7135.83,23/06/23,83
seed drill Investment,5805.02,29/11/23,44
pig Harvest,5141.82,27/06/23,40
coconut Harvest,5390.44,13/05/24,5
horse Investment,5347.16,03/07/22,65
turkey Investment,1223.67,14/01/23,100
poultry Harvest,6604.28,03/06/24,99
duck Harvest,2880.91,08/06/23,98
pig Harvest,7891.85,29/05/24,9
cows Investment,6858.31,23/08/22,70
goat Harvest,4992.33,20/05/24,61
cotton Harvest,8969.06,14/12/23,41
fish Harvest,7861.67,09/02/23,66
seed drill Harvest,3282.92,05/07/22,89
cows Harvest,4662.77,21/11/22,20
seed drill Investment,8110.68,19/01/23,22
horse Harvest,3192.85,04/02/22,50
cows Harvest,8171.71,05/04/24,57
rubber Investment,8492.93,09/01/22,52
tea Harvest,4642.86,17/08/23,52
plough Harvest,1460.01,23/12/23,55
sprayer Investment,4479.85,15/04/23,61
poultry Investment,8335.39,13/12/22,94
coconut Harvest,7957.97,24/05/23,9
fertilizer spreader Harvest,8837.1,05/12/23,63
rubber Investment,8297.59,19/12/23,98
coffee Harvest,4628.84,31/10/22,97
rubber Investment,4114.97,11/02/23,76
goat Investment,6947.25,20/02/23,80
wheat Harvest,2319.07,20/07/23,52
harvester Investment,2061.11,18/01/22,97
horse Harvest,8502.29,29/05/22,21
fertilizer spreader Harvest,4098.9,24/03/22,55
sprayer Harvest,7064.51,02/12/23,20
millets Investment,1967.13,21/05/24,23
pulses Harvest,5991.07,27/09/23,56
rubber Harvest,6756.72,28/10/23,69
duck Harvest,7886.23,27/06/22,19
tea Investment,8078.16,26/04/22,14
sheep Investment,7778.1,26/05/23,89
vegetable Investment,4517.01,28/09/22,94
poultry Harvest,103.09,25/06/22,43
millets Investment,1060.35,02/12/23,95
vegetable Harvest,5567.29,05/06/23,100
tractor Investment,9616.02,02/05/22,11
vegetable Investment,6533.01,29/04/22,26
harvester Harvest,8657.88,07/01/24,48
cows Investment,4378.04,25/04/23,87
plough Harvest,6162.64,10/11/23,80
sprayer Investment,412.56,17/03/24,84
fruit Investment,3915.2,22/04/23,47
hen Harvest,5523.38,08/07/23,96
sprayer Investment,5362.33,13/09/23,38
rice Harvest,9801.33,29/01/22,86
vegetable Harvest,2702.11,28/02/24,78
goat Investment,4193.2,18/03/24,75
groundnut Investment,4823.88,17/02/22,66
cow Harvest,2663.72,07/03/23,36
millets Harvest,7581.96,20/09/23,67
horse Harvest,2767.05,03/09/23,58
cows Harvest,5732.01,01/05/23,57
maize Harvest,3344.4,11/08/22,39
harvester Harvest,1794.59,13/07/22,53
fertilizer spreader Harvest,5523.28,28/06/22,66
tea Harvest,7564.98,08/05/22,58
fruit Harvest,9325.54,20/09/22,21
rice Investment,326.62,30/03/23,50
coconut Harvest,6177.81,18/02/23,62
pig Harvest,7764.26,11/02/24,79
tea Harvest,5704.62,28/07/22,15
tractor Investment,1975.35,31/01/23,100
irrigation system Harvest,4650.66,24/03/22,60
irrigation system Investment,8542.24,29/12/23,45
fertilizer spreader Investment,2512.22,04/06/22,5
groundnut Harvest,4719.21,11/02/24,100
poultry Harvest,6962.91,04/01/22,94
plough Investment,9021.01,23/01/24,60
fruit Harvest,113.41,22/11/22,30
goats Harvest,9055.84,06/01/24,91
buffalo Harvest,6397.07,25/04/22,39
maize Harvest,3084.1,25/01/23,2
buffalo Investment,1763.28,30/03/24,46
fertilizer spreader Harvest,414.11,06/06/23,16
seed drill Investment,3353.9,26/03/22,71
poultry Investment,7717.74,21/10/23,43
sugarcane Investment,7283.31,12/08/23,11
millets Harvest,6526.26,14/09/22,10
horse Investment,9934.25,29/05/23,53
poultry Investment,998.17,06/03/24,99
sprayer Harvest,7253.92,29/10/23,82
rubber Investment,4161.92,23/07/23,2
wheat Investment,8264.9,20/10/22,47
duck Investment,8479.76,17/05/24,48
sheep Harvest,8757.44,02/04/24,48
fertilizer spreader Investment,6407.22,10/03/24,14
fertilizer spreader Harvest,6275.93,11/08/22,90
tea Harvest,2753.12,29/11/22,10
cow Investment,6153.79,03/08/23,97
irrigation system Harvest,8887.02,08/11/22,43
rubber Harvest,7411.46,08/12/22,1
turkey Harvest,1420.92,16/07/23,13
fruit Harvest,6627.85,13/10/22,22
goat Investment,9437.34,24/05/24,7
plough Harvest,2550.22,24/02/24,4
pulses Investment,854.88,21/02/22,70
rubber Harvest,3543.44,04/04/23,64
duck Harvest,3190.03,22/01/22,72
pig Harvest,7877.14,13/02/22,90
cows Harvest,2204.59,08/09/22,61
pig Harvest,2999.37,30/10/22,84
goats Harvest,1466.8,24/04/24,92
plough Investment,5057.25,13/01/24,13
plough Harvest,555.26,27/10/23,97
rubber Harvest,6680.44,09/11/22,47
fruit Investment,7304.59,30/05/22,27
poultry Investment,4370.4,06/04/24,97
fertilizer spreader Harvest,224.21,19/10/22,62
sugarcane Harvest,8395.79,18/03/22,12
sprayer Investment,1208.93,08/01/22,78
buffalo Harvest,5130.23,17/03/24,44
groundnut Investment,2269.8,17/09/22,60
millets Investment,4525.61,20/02/23,15
pulses Harvest,4129.17,08/08/22,19
groundnut Investment,1803.73,07/10/22,19
cow Investment,5768.09,08/05/24,94
tractor Investment,1232.65,27/10/23,22
seed drill Harvest,5829.89,15/06/24,79
turkey Investment,9569.4,03/01/24,98
buffalo Harvest,5540.82,09/04/22,20
cow Investment,7922.01,02/05/22,75
vegetable Investment,1077.44,21/07/23,82
fish Investment,9104.69,26/03/24,16
pulses Harvest,5790.8,17/02/23,70
fertilizer spreader Harvest,5651.92,27/02/23,55
buffalo Investment,2951.94,01/09/23,1
maize Investment,7378.04,25/11/22,3
goat Harvest,4238.01,02/12/22,71
duck Harvest,6264.4,11/07/22,17
pulses Investment,9273.93,23/07/23,60
tea Investment,5089.1,26/06/22,65
fertilizer spreader Investment,5700.12,31/10/22,48
sprayer Investment,4739.53,05/11/23,39
goat Harvest,7418.46,01/07/23,13
fish Investment,6905.64,20/11/22,13
goat Investment,126.92,14/05/22,50
cow Investment,9718.73,15/06/23,39
plough Investment,2573.62,10/12/22,57
harvester Investment,8109.51,22/07/22,31
fertilizer spreader Harvest,3324.61,11/05/24,68
rice Investment,4519.09,04/07/23,5
coffee Harvest,2748.29,11/06/24,73
sheep Harvest,6576.06,22/04/22,76
sugarcane Investment,9536.13,15/03/24,3
fish Harvest,3383.5,25/06/23,47
rubber Investment,2889.65,03/04/22,93
fish Investment,9182.27,13/01/22,39
tractor Investment,153.43,26/12/22,73
millets Investment,9766.3,28/10/23,84
harvester Harvest,1562.73,01/07/22,74
fertilizer spreader Harvest,7410.14,03/10/23,13
coconut Harvest,1115.33,05/11/22,54
turkey Investment,323.84,04/01/24,34
millets Harvest,5461.94,04/05/22,88
coconut Investment,4250.18,15/08/23,70
duck Investment,6963.56,16/03/22,26
vegetable Harvest,844.97,12/04/24,5
sprayer Investment,7043.17,01/11/22,20
rubber Harvest,3535.4,23/01/23,62
wheat Harvest,7998.85,15/08/22,64
pig Harvest,7595.8,10/09/23,79
harvester Harvest,3382.08,19/04/24,32
fruit Harvest,1414.66,16/04/22,7
poultry Harvest,4109.57,08/03/22,23
goats Harvest,4469.28,19/12/22,69
harvester Investment,9615.15,02/10/22,46
irrigation system Investment,9043.27,08/05/24,79
harvester Investment,9318.78,22/03/23,23
wheat Harvest,2549.58,04/05/23,25
rubber Harvest,1428.55,11/06/22,15
vegetable Harvest,5403.99,14/06/24,1
cotton Investment,8292.87,22/09/22,74
millets Harvest,7841.85,04/11/22,32
coconut Harvest,346.67,23/06/22,73
sugarcane Harvest,231.47,27/03/23,29
fertilizer spreader Investment,2428.41,20/01/22,27
pig Investment,5156.03,02/01/23,29
harvester Investment,3670.87,11/03/23,39
fruit Harvest,1152.09,24/07/23,80
goats Harvest,1657.02,31/01/23,84
horse Harvest,3563.05,03/06/23,62
maize Investment,4173.05,24/02/23,44
hen Harvest,4216.77,07/05/22,56
cow Investment,4336.21,12/03/24,63
millets Harvest,569.24,08/02/24,6
coconut Investment,4186.07,30/09/23,99
fertilizer spreader Investment,1029.34,03/08/23,77
cow Investment,5216.43,01/12/22,32
poultry Investment,5102.42,02/02/22,72
wheat Harvest,6386.26,02/05/24,29
fruit Harvest,5684.97,02/05/24,88
pulses Harvest,6154.24,11/02/23,59
cotton Harvest,2720.78,13/01/24,98
coconut Harvest,7461.06,01/04/23,18
rubber Investment,3640.22,09/11/22,88
maize Harvest,7509.3,17/10/22,5
fertilizer spreader Harvest,8806.95,27/03/23,25
fruit Investment,9020.44,16/06/23,22
goat Harvest,7789.99,15/04/24,73
seed drill Harvest,9746.16,11/11/22,44
pulses Harvest,6501.97,22/02/24,21
vegetable Harvest,4285.28,31/01/24,48
goat Harvest,4559.87,02/08/23,23
wheat Harvest,3994.39,11/04/24,16
goat Harvest,3897.15,11/04/24,55
tractor Investment,8332.12,20/01/24,32
coffee Harvest,6629.88,11/04/24,69
millets Investment,4780.97,11/04/24,15
tea Harvest,5021.59,15/10/23,31
cows Harvest,1511.65,16/07/22,49
fertilizer spreader Harvest,5351.08,20/01/22,67
wheat Harvest,3108.23,15/06/22,86
rubber Investment,9728.21,22/06/22,77
fruit Investment,2102.51,26/06/23,96
seed drill Investment,4189.94,20/05/23,92
vegetable Investment,8642.55,23/04/23,69
goat Harvest,4261.4,11/03/22,61
harvester Harvest,3086.11,25/01/24,65
maize Harvest,145.39,22/10/22,83
plough Harvest,1165.53,11/03/24,50
maize Harvest,5870.1,22/04/24,9
plough Harvest,2171.85,04/03/22,67
coffee Harvest,9164.41,02/05/24,48
irrigation system Harvest,1463.36,04/01/24,23
sugarcane Harvest,5456.5,15/10/23,52
harvester Investment,3708.32,10/12/22,89
wheat Investment,4193.07,22/03/24,62
pig Investment,3766.76,13/02/24,73
poultry Harvest,4657.13,20/01/22,32
rubber Harvest,4247.32,06/06/22,30
harvester Investment,3068.41,26/02/24,40
tractor Harvest,317.51,25/02/24,80
irrigation system Investment,1214.71,21/01/22,1
rice Harvest,1420.61,28/11/22,21
harvester Harvest,5749.42,28/05/23,18
fish Harvest,6343.43,27/01/23,37
groundnut Harvest,2306.09,28/05/22,66
poultry Harvest,5472.4,01/02/23,81
pig Harvest,625.79,12/12/23,38
millets Investment,5441.48,22/05/24,75
groundnut Harvest,3050.84,27/02/22,36
tea Harvest,3079.27,03/10/23,47
goats Investment,8321.37,18/10/22,57
cows Harvest,4010.42,23/12/22,14
duck Investment,938.13,31/08/22,69
tea Investment,9322.43,03/06/23,74
harvester Harvest,8800.33,26/08/23,27
harvester Harvest,544.72,30/10/23,59
maize Investment,3496.38,26/03/22,16
pig Harvest,2581.8,17/02/23,40
poultry Investment,9994.47,24/11/23,50
turkey Harvest,3062.21,24/08/22,62
cow Harvest,916.58,20/02/24,89
rubber Harvest,7779.28,26/03/22,32
fruit Investment,8502.39,23/05/24,50
millets Investment,2555.25,12/03/24,12
tractor Harvest,3712.24,21/03/24,17
coconut Harvest,6768.81,29/08/22,77
poultry Harvest,5275.17,27/07/23,86
turkey Investment,6348.81,13/05/24,87
turkey Harvest,3806.58,29/01/23,40
seed drill Harvest,5383.69,07/05/24,63
tractor Harvest,5520.76,30/07/22,63
fruit Investment,4689.44,21/01/22,74
horse Investment,9602.46,12/01/23,24
millets Investment,1229.65,29/12/22,1
pig Harvest,5543.9,13/04/23,72
fish Investment,2297.7,05/09/22,9
vegetable Harvest,986,20/07/22,61
fruit Investment,9663.73,17/04/23,70
goats Harvest,8193.67,28/01/24,78
duck Harvest,6081.42,02/11/22,93
cotton Investment,526.41,17/04/23,90
cotton Harvest,6173.2,16/12/22,47
pig Investment,2724.61,20/01/22,48
cotton Harvest,906.79,24/10/23,94
rice Harvest,7214.46,28/01/23,7
cow Investment,5110.86,03/04/22,92
harvester Investment,1130.15,13/08/22,86
cow Investment,6963.02,18/01/23,74
plough Investment,2729.24,08/09/22,57
rice Investment,4520.33,09/06/23,81
pig Investment,4872.92,10/11/22,68
seed drill Harvest,7775.48,06/12/22,90
rice Investment,7115.77,01/08/23,53
coconut Harvest,9984.14,24/11/23,91
fertilizer spreader Harvest,2407.7,16/10/23,61
cows Harvest,6690.62,13/02/24,8
buffalo Harvest,3077.99,29/01/23,59
sheep Harvest,6037.04,12/12/22,46
cotton Investment,246.51,11/01/22,54
fertilizer spreader Investment,9215.59,27/12/23,52
fertilizer spreader Investment,3113.32,05/02/22,87
buffalo Investment,9854.05,13/09/22,16
buffalo Investment,5698.27,11/02/22,91
hen Harvest,9834.32,17/02/23,5
pig Investment,5464.93,09/03/23,98
horse Harvest,7086.07,17/05/24,59
pig Investment,7161.88,08/04/23,100
fertilizer spreader Investment,6276.53,08/03/22,69
fruit Investment,1029.02,27/05/23,37
pig Harvest,4861.11,01/02/24,11
fruit Investment,331.11,01/12/22,91
seed drill Investment,4496.34,04/02/22,72
pulses Harvest,1643.21,26/10/23,88
coconut Harvest,126.44,12/06/23,95
duck Harvest,640.01,22/08/23,53
tractor Investment,267.52,22/06/22,67
millets Investment,3910.98,16/06/24,30
coffee Harvest,4404.36,14/12/22,68
rice Harvest,5247.39,17/08/22,75
goat Investment,5076.77,03/10/22,20
cotton Investment,1484.75,21/01/23,30
harvester Investment,4794.14,02/04/23,1
tractor Harvest,5836.56,22/05/23,50
horse Investment,2667.69,20/08/22,70
turkey Harvest,2633.6,18/01/22,58
horse Investment,6135.9,04/04/22,10
millets Harvest,1397.07,07/09/23,92
vegetable Investment,7732.93,23/07/23,55
tractor Investment,8714.95,27/01/23,88
tea Investment,2498.82,01/09/22,15
groundnut Harvest,4326.69,08/07/22,40
tractor Harvest,1876.16,26/03/22,83
fruit Harvest,6685.41,23/03/22,8
wheat Harvest,8164.33,16/01/23,73
coffee Harvest,3532.6,19/06/22,40
pig Investment,5745.21,11/04/23,81
pig Harvest,5466.73,23/05/24,94
groundnut Harvest,3695.92,24/03/22,71
sprayer Harvest,1995.35,11/02/23,78
coffee Harvest,6587.76,21/07/22,96
goats Harvest,9227.54,31/05/24,10
poultry Harvest,1901.05,12/10/22,80
fish Investment,7094.76,06/01/22,100
goats Investment,6061.31,30/10/23,86
horse Harvest,1742.86,09/09/22,53
rice Investment,2001.59,04/01/23,81
vegetable Investment,2648.46,20/04/22,56
buffalo Harvest,4552.32,19/09/22,54
sugarcane Harvest,2809.66,01/10/23,13
maize Harvest,5524.01,29/06/23,36
seed drill Harvest,7485.37,08/08/22,34
irrigation system Harvest,4611.34,23/03/22,94
pulses Harvest,2927.57,20/01/22,25
fruit Investment,3946.32,27/05/22,55
tea Harvest,1191.78,29/12/23,97
plough Harvest,5527.58,18/02/23,4
goats Investment,5428.28,09/07/23,3
harvester Harvest,4011.84,28/12/23,94
coffee Harvest,170.08,15/06/22,73
sheep Harvest,8109.34,31/01/22,27
pulses Harvest,3807.08,06/05/24,27
fertilizer spreader Investment,9727.2,02/03/23,20
pig Investment,7508.67,18/04/24,42
plough Harvest,639.1,04/09/22,13
goats Harvest,876.14,18/02/24,25
irrigation system Harvest,2658.99,19/03/23,62
millets Investment,388.27,07/01/24,78
hen Harvest,3068.06,11/01/23,59
tea Investment,2733.87,17/05/22,65
goats Harvest,3103.91,20/04/22,42
tractor Harvest,9544.57,18/08/22,47
fish Investment,1220.95,29/05/22,71
hen Harvest,1976.02,26/04/22,47
turkey Harvest,4504.97,03/01/22,31
sprayer Investment,8353.97,27/01/24,9
coconut Harvest,6133.1,17/05/24,93
