sentence,item_start,item_end,amount_start,amount_end
"During the season, I gave 46100 rupees as investment for goat.",57,61,26,31
Amount paid for banana plants was 31499 rupees.,16,29,34,39
"Recently, Paid 3779 rupees to buy wheat seeds.",34,45,15,19
"Recently, Acquired organic compost by paying 10768 rupees.",19,34,45,50
"Just now, I gave 28224 rupees as investment for onion seeds.",48,59,17,22
"Today, I spent 728 rupees on wheat seeds last month.",29,40,15,18
"Today, Cost of tomato plants amounted to 41802 rupees.",15,28,41,46
"On Monday, The cost of tractor repair was 209 rupees.",23,37,42,45
"Recently, Paid 23569 rupees to buy cow.",35,38,15,20
Sold tomato plants in the market and earned 36095 rupees.,5,18,44,49
"On Monday, Sold rice seeds in the market and earned 21164 rupees.",16,26,52,57
"During the season, Purchased jamun saplings at 40207 rupees.",29,43,47,52
"In the evening, Last week, coconut trees was sold for 16187 rupees.",27,40,54,59
"On Monday, Acquired rice seeds by paying 8169 rupees.",20,30,41,45
"Just now, Purchased cow at 31807 rupees.",20,23,27,32
Amount paid for harvesting machine was 18466 rupees.,16,34,39,44
"Last month, Amount paid for tractor repair was 13906 rupees.",28,42,47,52
"During the season, Spent 37821 INR on purchasing mango saplings for my farm.",49,63,25,30
"Yesterday, Received 3952 rupees from selling rice seeds.",45,55,20,24
"Today, Amount paid for harvesting machine was 15723 rupees.",23,41,46,51
"Just now, Around noon, I spent 18295 rupees on organic compost.",47,62,31,36
"Yesterday, I gave 38303 rupees as investment for irrigation pipe.",49,64,18,23
"During the season, Paid 728 rupees to buy wheat seeds.",42,53,24,27
"Yesterday, Cost of rice seeds amounted to 2450 rupees.",19,29,42,46
"During the season, Cost of organic compost amounted to 33034 rupees.",27,42,55,60
"Last week, jamun saplings was sold for 30070 rupees.",11,25,39,44
"Just now, Spent 13889 INR on purchasing banana plants for my farm.",40,53,16,21
"Early morning, I gave 48924 rupees as investment for greenhouse setup.",53,69,22,27
"Last month, Paid 9961 rupees to buy organic compost.",36,51,17,21
"Around noon, I spent 21164 rupees on pesticide.",37,46,21,26
"During the season, I spent 9909 rupees on rice seeds last month.",42,52,27,31
"Just now, Purchased cow at 17293 rupees.",20,23,27,32
"Last month, Harvested jamun saplings and sold for 13543 rupees.",22,36,50,55
"Last month, The cost of duck feed was 17648 rupees.",24,33,38,43
Spent 28079 INR on purchasing tractor repair for my farm.,30,44,6,11
"In the evening, I invested 28354 rupees for buying jamun saplings.",51,65,27,32
"Just now, I gave 37763 rupees as investment for duck feed.",48,57,17,22
"On Monday, I spent 45493 rupees on goat last month.",35,39,19,24
"Yesterday, Acquired jamun saplings by paying 29335 rupees.",20,34,45,50
"Early morning, Bought irrigation pipe today and paid 24590 rupees.",22,37,53,58
"Recently, The cost of organic compost was 18723 rupees.",22,37,42,47
"Early morning, Received 38049 rupees from selling poultry feed.",50,62,24,29
"In the evening, Received 29787 rupees from selling banana plants.",51,64,25,30
"During the season, I spent 28064 rupees on cow last month.",43,46,27,32
"Just now, Harvested tractor repair and sold for 13906 rupees.",20,34,48,53
"Yesterday, Harvest of greenhouse setup brought in 44938 INR.",22,38,50,55
"During the season, Invested 33338 for purchasing banana plants.",49,62,28,33
"Early morning, Amount paid for organic compost was 2498 rupees.",31,46,51,55
"Just now, Paid 38211 rupees to buy greenhouse setup.",35,51,15,20
"In the evening, Cost of mango saplings amounted to 28448 rupees.",24,38,51,56
"Early morning, Sold tomato plants in the market and earned 6528 rupees.",20,33,59,63
Received 8558 rupees from selling irrigation pipe.,34,49,9,13
"In the evening, Used 30035 rupees to buy duck feed.",41,50,21,26
"Early morning, I spent 932 rupees on rice seeds last month.",37,47,23,26
"Recently, Cost of organic compost amounted to 16260 rupees.",18,33,46,51
"Today, I invested 3072 rupees for buying organic compost.",41,56,18,22
"Early morning, The cost of mango saplings was 10513 rupees.",27,41,46,51
"During the season, Around noon, I spent 47494 rupees on duck feed.",56,65,40,45
Sold irrigation pipe in the market and earned 46100 rupees.,5,20,46,51
"In the evening, Sold greenhouse setup in the market and earned 45188 rupees.",21,37,63,68
"Last month, Bought wheat seeds today and paid 47494 rupees.",19,30,46,51
"Last month, Amount paid for rice seeds was 44577 rupees.",28,38,43,48
"During the season, I spent 41339 rupees on jamun saplings last month.",43,57,27,32
"During the season, The cost of jamun saplings was 12610 rupees.",31,45,50,55
"During the season, Received 22685 rupees from selling greenhouse setup.",54,70,28,33
"On Monday, Harvested harvesting machine and sold for 28354 rupees.",21,39,53,58
"Just now, Received 5040 rupees from selling coconut trees.",44,57,19,23
"Just now, Cost of solar water pump amounted to 40767 rupees.",18,34,47,52
"Early morning, Purchased greenhouse setup at 8969 rupees.",25,41,45,49
"Recently, Harvest of pesticide brought in 2782 INR.",21,30,42,46
"Last month, Invested 8988 for purchasing duck feed.",41,50,21,25
"Just now, Sold banana plants in the market and earned 21497 rupees.",15,28,54,59
"Just now, Used 17192 rupees to buy duck feed.",35,44,15,20
"Recently, Received 5338 rupees from selling jamun saplings.",44,58,19,23
"Yesterday, Harvest of banana plants brought in 8087 INR.",22,35,47,51
"Last month, Last week, fertilizer was sold for 29161 rupees.",23,33,47,52
"Yesterday, I spent 26561 rupees on greenhouse setup last month.",35,51,19,24
"During the season, Invested 16426 for purchasing wheat seeds.",49,60,28,33
Harvest of rice seeds brought in 23153 INR.,11,21,33,38
"Recently, Last week, wheat seeds was sold for 9572 rupees.",21,32,46,50
"Just now, Acquired rice seeds by paying 32067 rupees.",19,29,40,45
"On Monday, Invested 35280 for purchasing duck feed.",41,50,20,25
"Today, Used 46519 rupees to buy goat.",32,36,12,17
"Yesterday, Sold harvesting machine in the market and earned 33945 rupees.",16,34,60,65
"Last month, I spent 1697 rupees on pesticide last month.",35,44,20,24
"During the season, The cost of cow was 19442 rupees.",31,34,39,44
"Just now, Purchased coconut trees at 28064 rupees.",20,33,37,42
"Today, I gave 23978 rupees as investment for wheat seeds.",45,56,14,19
"Recently, Sold irrigation pipe in the market and earned 44260 rupees.",15,30,56,61
Spent 16934 INR on purchasing harvesting machine for my farm.,30,48,6,11
"Just now, Used 3127 rupees to buy poultry feed.",34,46,15,19
"Recently, Around noon, I spent 13817 rupees on coconut trees.",47,60,31,36
"Yesterday, I gave 18861 rupees as investment for jamun saplings.",49,63,18,23
"Today, I invested 40207 rupees for buying greenhouse setup.",42,58,18,23
"During the season, Last week, greenhouse setup was sold for 26525 rupees.",30,46,60,65
"During the season, I gave 15882 rupees as investment for jamun saplings.",57,71,26,31
I invested 33695 rupees for buying duck feed.,35,44,11,16
"During the season, I gave 28412 rupees as investment for jamun saplings.",57,71,26,31
"Recently, I spent 24950 rupees on irrigation pipe last month.",34,49,18,23
"Recently, I invested 14243 rupees for buying poultry feed.",45,57,21,26
"On Monday, Bought duck feed today and paid 18271 rupees.",18,27,43,48
"Just now, Harvest of duck feed brought in 19863 INR.",21,30,42,47
"On Monday, Last week, fertilizer was sold for 21702 rupees.",22,32,46,51
"During the season, Amount paid for tractor repair was 47907 rupees.",35,49,54,59
"Recently, Used 7397 rupees to buy poultry feed.",34,46,15,19
"During the season, Sold duck feed in the market and earned 48045 rupees.",24,33,59,64
"Recently, Around noon, I spent 35542 rupees on duck feed.",47,56,31,36
"Last month, Spent 24273 INR on purchasing duck feed for my farm.",42,51,18,23
"On Monday, Cost of onion seeds amounted to 43892 rupees.",19,30,43,48
"Yesterday, Around noon, I spent 30234 rupees on cow.",48,51,32,37
"In the evening, The expense for poultry feed was 4842 rupees.",32,44,49,53
"During the season, I gave 38791 rupees as investment for mango saplings.",57,71,26,31
"On Monday, Around noon, I spent 33038 rupees on poultry feed.",48,60,32,37
I spent 25407 rupees on duck feed last month.,24,33,8,13
I gave 31554 rupees as investment for banana plants.,38,51,7,12
"Recently, Acquired goat by paying 30357 rupees.",19,23,34,39
"On Monday, Harvested goat and sold for 42265 rupees.",21,25,39,44
"Early morning, Received 16321 rupees from selling irrigation pipe.",50,65,24,29
"In the evening, Harvest of harvesting machine brought in 5808 INR.",27,45,57,61
"Early morning, Received 414 rupees from selling duck feed.",48,57,24,27
"Yesterday, The expense for organic compost was 48316 rupees.",27,42,47,52
"In the evening, I spent 9572 rupees on banana plants last month.",39,52,24,28
The expense for onion seeds was 35782 rupees.,16,27,32,37
"Today, Acquired rice seeds by paying 34203 rupees.",16,26,37,42
"Recently, I invested 41802 rupees for buying irrigation pipe.",45,60,21,26
"On Monday, Used 39594 rupees to buy tractor repair.",36,50,16,21
"In the evening, Bought tomato plants today and paid 17311 rupees.",23,36,52,57
"Just now, Harvested tractor repair and sold for 22259 rupees.",20,34,48,53
Received 3113 rupees from selling tractor repair.,34,48,9,13
"In the evening, Amount paid for pesticide was 33976 rupees.",32,41,46,51
"Early morning, Bought solar water pump today and paid 25381 rupees.",22,38,54,59
"During the season, I gave 31109 rupees as investment for fertilizer.",57,67,26,31
"Just now, The expense for rice seeds was 42665 rupees.",26,36,41,46
Sold cow in the market and earned 3218 rupees.,5,8,34,38
"Early morning, Amount paid for wheat seeds was 16641 rupees.",31,42,47,52
"Last month, Bought harvesting machine today and paid 34890 rupees.",19,37,53,58
"Early morning, Amount paid for coconut trees was 48015 rupees.",31,44,49,54
"Just now, Harvested greenhouse setup and sold for 29163 rupees.",20,36,50,55
"Yesterday, The expense for poultry feed was 43039 rupees.",27,39,44,49
"Recently, Paid 728 rupees to buy jamun saplings.",33,47,15,18
"Recently, Invested 28119 for purchasing jamun saplings.",40,54,19,24
"Recently, Bought organic compost today and paid 14112 rupees.",17,32,48,53
"On Monday, Paid 43188 rupees to buy cow.",36,39,16,21
"Yesterday, I gave 37380 rupees as investment for rice seeds.",49,59,18,23
"Early morning, Amount paid for tractor repair was 16274 rupees.",31,45,50,55
"Recently, Invested 3258 for purchasing poultry feed.",39,51,19,23
"On Monday, Harvest of jamun saplings brought in 26957 INR.",22,36,48,53
"Early morning, Invested 38752 for purchasing solar water pump.",45,61,24,29
"On Monday, Spent 28901 INR on purchasing fertilizer for my farm.",41,51,17,22
"Early morning, Paid 43941 rupees to buy tomato plants.",40,53,20,25
"Recently, Acquired duck feed by paying 38940 rupees.",19,28,39,44
"During the season, Harvested poultry feed and sold for 42044 rupees.",29,41,55,60
"Recently, Amount paid for cow was 45701 rupees.",26,29,34,39
"Early morning, Purchased fertilizer at 3072 rupees.",25,35,39,43
"Last month, Harvested poultry feed and sold for 33976 rupees.",22,34,48,53
Paid 26383 rupees to buy rice seeds.,25,35,5,10
"Just now, Received 13889 rupees from selling greenhouse setup.",45,61,19,24
Spent 36361 INR on purchasing banana plants for my farm.,30,43,6,11
"Recently, Received 24919 rupees from selling greenhouse setup.",45,61,19,24
"Recently, The cost of poultry feed was 3952 rupees.",22,34,39,43
"Today, Sold wheat seeds in the market and earned 6549 rupees.",12,23,49,53
"Just now, The expense for organic compost was 38279 rupees.",26,41,46,51
"During the season, Amount paid for onion seeds was 23797 rupees.",35,46,51,56
"On Monday, The cost of organic compost was 8799 rupees.",23,38,43,47
"During the season, Harvested mango saplings and sold for 40477 rupees.",29,43,57,62
"In the evening, I gave 41926 rupees as investment for irrigation pipe.",54,69,23,28
"During the season, Around noon, I spent 24919 rupees on greenhouse setup.",56,72,40,45
"Today, Around noon, I spent 3878 rupees on onion seeds.",43,54,28,32
"Yesterday, Amount paid for greenhouse setup was 11298 rupees.",27,43,48,53
"In the evening, I invested 46706 rupees for buying greenhouse setup.",51,67,27,32
"Today, Acquired poultry feed by paying 48925 rupees.",16,28,39,44
Harvest of jamun saplings brought in 8079 INR.,11,25,37,41
"Last month, Purchased banana plants at 13334 rupees.",22,35,39,44
"In the evening, Sold fertilizer in the market and earned 19897 rupees.",21,31,57,62
"On Monday, The expense for tomato plants was 31177 rupees.",27,40,45,50
"On Monday, I invested 44589 rupees for buying greenhouse setup.",46,62,22,27
"In the evening, I invested 39135 rupees for buying rice seeds.",51,61,27,32
Bought onion seeds today and paid 15145 rupees.,7,18,34,39
"Early morning, Harvest of onion seeds brought in 35436 INR.",26,37,49,54
"Today, Sold tractor repair in the market and earned 12887 rupees.",12,26,52,57
"Early morning, Harvest of coconut trees brought in 25575 INR.",26,39,51,56
"Today, Bought poultry feed today and paid 26032 rupees.",14,26,42,47
"Recently, Around noon, I spent 15210 rupees on goat.",47,51,31,36
"Last month, Invested 48277 for purchasing coconut trees.",42,55,21,26
"Last month, I invested 932 rupees for buying fertilizer.",45,55,23,26
The cost of tractor repair was 37380 rupees.,12,26,31,36
"On Monday, I invested 43610 rupees for buying organic compost.",46,61,22,27
"Last month, The expense for rice seeds was 4162 rupees.",28,38,43,47
"Yesterday, I gave 9074 rupees as investment for mango saplings.",48,62,18,22
"Yesterday, Amount paid for greenhouse setup was 31882 rupees.",27,43,48,53
"Last month, I gave 24533 rupees as investment for coconut trees.",50,63,19,24
"Early morning, Harvest of pesticide brought in 9254 INR.",26,35,47,51
"Early morning, Acquired tractor repair by paying 28412 rupees.",24,38,49,54
"Today, Amount paid for poultry feed was 42106 rupees.",23,35,40,45
"Early morning, Last week, organic compost was sold for 25591 rupees.",26,41,55,60
"Early morning, The cost of onion seeds was 20548 rupees.",27,38,43,48
"On Monday, Last week, wheat seeds was sold for 24245 rupees.",22,33,47,52
"Just now, Cost of pesticide amounted to 27084 rupees.",18,27,40,45
"Yesterday, I gave 37679 rupees as investment for organic compost.",49,64,18,23
"Just now, Invested 23998 for purchasing goat.",40,44,19,24
"On Monday, Sold rice seeds in the market and earned 1700 rupees.",16,26,52,56
"Just now, Harvest of greenhouse setup brought in 15084 INR.",21,37,49,54
"Today, Paid 46288 rupees to buy tractor repair.",32,46,12,17
"Recently, Sold jamun saplings in the market and earned 4005 rupees.",15,29,55,59
Paid 34235 rupees to buy irrigation pipe.,25,40,5,10
Acquired tractor repair by paying 1985 rupees.,9,23,34,38
"Last month, I spent 4005 rupees on tomato plants last month.",35,48,20,24
"On Monday, Invested 14761 for purchasing coconut trees.",41,54,20,25
"Early morning, Last week, solar water pump was sold for 30427 rupees.",26,42,56,61
"Last month, Sold banana plants in the market and earned 5040 rupees.",17,30,56,60
"On Monday, I invested 35700 rupees for buying rice seeds.",46,56,22,27
Harvest of tractor repair brought in 33676 INR.,11,25,37,42
"On Monday, Around noon, I spent 24919 rupees on greenhouse setup.",48,64,32,37
Invested 1340 for purchasing organic compost.,29,44,9,13
"In the evening, Invested 14112 for purchasing organic compost.",46,61,25,30
"Recently, I spent 35542 rupees on organic compost last month.",34,49,18,23
Acquired tractor repair by paying 34890 rupees.,9,23,34,39
"In the evening, Around noon, I spent 30677 rupees on harvesting machine.",53,71,37,42
"During the season, Bought harvesting machine today and paid 46998 rupees.",26,44,60,65
Received 43627 rupees from selling fertilizer.,35,45,9,14
"Early morning, Bought poultry feed today and paid 46288 rupees.",22,34,50,55
"During the season, Acquired goat by paying 9188 rupees.",28,32,43,47
"Last month, Acquired jamun saplings by paying 1700 rupees.",21,35,46,50
"Just now, Used 35782 rupees to buy greenhouse setup.",35,51,15,20
"In the evening, Used 8467 rupees to buy mango saplings.",40,54,21,25
"Yesterday, Used 28262 rupees to buy onion seeds.",36,47,16,21
"During the season, I spent 43756 rupees on rice seeds last month.",43,53,27,32
"During the season, Paid 37642 rupees to buy mango saplings.",44,58,24,29
"Early morning, I invested 2626 rupees for buying goat.",49,53,26,30
"Early morning, Bought coconut trees today and paid 21822 rupees.",22,35,51,56
"Recently, Harvest of goat brought in 24066 INR.",21,25,37,42
"Yesterday, Harvested rice seeds and sold for 38211 rupees.",21,31,45,50
"Last month, Sold solar water pump in the market and earned 24919 rupees.",17,33,59,64
"In the evening, The expense for coconut trees was 26032 rupees.",32,45,50,55
"Today, Harvest of poultry feed brought in 44589 INR.",18,30,42,47
"Early morning, Cost of organic compost amounted to 8169 rupees.",23,38,51,55
"In the evening, Harvested goat and sold for 38200 rupees.",26,30,44,49
"Just now, Spent 33725 INR on purchasing fertilizer for my farm.",40,50,16,21
"Early morning, Harvested tractor repair and sold for 48284 rupees.",25,39,53,58
"Last month, Invested 42819 for purchasing fertilizer.",42,52,21,26
"Recently, Spent 35700 INR on purchasing coconut trees for my farm.",40,53,16,21
I spent 20145 rupees on duck feed last month.,24,33,8,13
"In the evening, Harvest of fertilizer brought in 3208 INR.",27,37,49,53
"Early morning, Bought cow today and paid 615 rupees.",22,25,41,44
"Just now, I spent 3779 rupees on coconut trees last month.",33,46,18,22
"In the evening, Purchased coconut trees at 46402 rupees.",26,39,43,48
"In the evening, Invested 12893 for purchasing cow.",46,49,25,30
"Just now, Bought pesticide today and paid 12591 rupees.",17,26,42,47
"Early morning, I spent 3377 rupees on tomato plants last month.",38,51,23,27
"Yesterday, Acquired cow by paying 26275 rupees.",20,23,34,39
"Early morning, Invested 40635 for purchasing greenhouse setup.",45,61,24,29
"In the evening, Harvest of wheat seeds brought in 28224 INR.",27,38,50,55
"Yesterday, Sold tomato plants in the market and earned 30210 rupees.",16,29,55,60
"On Monday, Used 39089 rupees to buy onion seeds.",36,47,16,21
"On Monday, Bought goat today and paid 37105 rupees.",18,22,38,43
"In the evening, Harvest of pesticide brought in 24634 INR.",27,36,48,53
Spent 17456 INR on purchasing greenhouse setup for my farm.,30,46,6,11
"Recently, Purchased fertilizer at 41619 rupees.",20,30,34,39
"Yesterday, The cost of harvesting machine was 20548 rupees.",23,41,46,51
"Yesterday, Last week, coconut trees was sold for 16641 rupees.",22,35,49,54
"Yesterday, Around noon, I spent 6910 rupees on banana plants.",47,60,32,36
"Last month, The expense for fertilizer was 36520 rupees.",28,38,43,48
"Early morning, Harvest of irrigation pipe brought in 49055 INR.",26,41,53,58
"Just now, I invested 17192 rupees for buying solar water pump.",45,61,21,26
"During the season, Cost of solar water pump amounted to 26247 rupees.",27,43,56,61
"In the evening, Harvested irrigation pipe and sold for 8079 rupees.",26,41,55,59
"Last month, Last week, fertilizer was sold for 17072 rupees.",23,33,47,52
"Recently, Used 29954 rupees to buy harvesting machine.",35,53,15,20
"In the evening, Bought rice seeds today and paid 41230 rupees.",23,33,49,54
"Today, I invested 40635 rupees for buying coconut trees.",42,55,18,23
"During the season, Spent 6712 INR on purchasing wheat seeds for my farm.",48,59,25,29
I invested 35244 rupees for buying organic compost.,35,50,11,16
"During the season, Last week, goat was sold for 3479 rupees.",30,34,48,52
"In the evening, Bought jamun saplings today and paid 40750 rupees.",23,37,53,58
"Last month, Around noon, I spent 45701 rupees on harvesting machine.",49,67,33,38
"Early morning, Around noon, I spent 10442 rupees on goat.",52,56,36,41
"In the evening, Last week, onion seeds was sold for 9982 rupees.",27,38,52,56
"In the evening, Harvest of tomato plants brought in 45175 INR.",27,40,52,57
"Just now, Purchased coconut trees at 42269 rupees.",20,33,37,42
Bought goat today and paid 29179 rupees.,7,11,27,32
"Early morning, I gave 19288 rupees as investment for poultry feed.",53,65,22,27
"During the season, I spent 16260 rupees on mango saplings last month.",43,57,27,32
Sold greenhouse setup in the market and earned 4310 rupees.,5,21,47,51
"On Monday, Sold coconut trees in the market and earned 39467 rupees.",16,29,55,60
"On Monday, Used 21625 rupees to buy rice seeds.",36,46,16,21
"During the season, Cost of wheat seeds amounted to 34275 rupees.",27,38,51,56
"In the evening, Received 9254 rupees from selling jamun saplings.",50,64,25,29
"In the evening, Paid 25857 rupees to buy fertilizer.",41,51,21,26
"Today, Used 13276 rupees to buy pesticide.",32,41,12,17
"Yesterday, Received 16349 rupees from selling coconut trees.",46,59,20,25
"Today, Cost of harvesting machine amounted to 18295 rupees.",15,33,46,51
"On Monday, Invested 30699 for purchasing mango saplings.",41,55,20,25
"In the evening, Purchased poultry feed at 15023 rupees.",26,38,42,47
"Early morning, Purchased organic compost at 10046 rupees.",25,40,44,49
"Today, Acquired jamun saplings by paying 43782 rupees.",16,30,41,46
Purchased mango saplings at 21617 rupees.,10,24,28,33
"Just now, Purchased greenhouse setup at 10060 rupees.",20,36,40,45
"Early morning, Last week, coconut trees was sold for 20548 rupees.",26,39,53,58
"Today, I invested 3464 rupees for buying jamun saplings.",41,55,18,22
"Last month, Sold harvesting machine in the market and earned 19687 rupees.",17,35,61,66
"Just now, I gave 23696 rupees as investment for wheat seeds.",48,59,17,22
Acquired greenhouse setup by paying 46887 rupees.,9,25,36,41
Used 5270 rupees to buy solar water pump.,24,40,5,9
"Recently, Amount paid for solar water pump was 47397 rupees.",26,42,47,52
"During the season, Received 26561 rupees from selling banana plants.",54,67,28,33
"In the evening, Invested 32886 for purchasing greenhouse setup.",46,62,25,30
"Last month, Purchased coconut trees at 43582 rupees.",22,35,39,44
"Early morning, Sold tractor repair in the market and earned 29161 rupees.",20,34,60,65
Sold rice seeds in the market and earned 24507 rupees.,5,15,41,46
"Recently, Sold duck feed in the market and earned 42119 rupees.",15,24,50,55
I invested 49736 rupees for buying mango saplings.,35,49,11,16
Cost of banana plants amounted to 43167 rupees.,8,21,34,39
"Yesterday, Last week, mango saplings was sold for 38140 rupees.",22,36,50,55
"On Monday, The cost of organic compost was 7162 rupees.",23,38,43,47
The cost of fertilizer was 39135 rupees.,12,22,27,32
"During the season, I spent 24969 rupees on duck feed last month.",43,52,27,32
"Recently, Invested 15830 for purchasing irrigation pipe.",40,55,19,24
"Last month, Acquired cow by paying 7806 rupees.",21,24,35,39
"Just now, Invested 30925 for purchasing duck feed.",40,49,19,24
"Today, I spent 38523 rupees on fertilizer last month.",31,41,15,20
"Today, Around noon, I spent 48045 rupees on pesticide.",44,53,28,33
The cost of greenhouse setup was 24507 rupees.,12,28,33,38
"During the season, Received 8394 rupees from selling poultry feed.",53,65,28,32
"In the evening, Received 26707 rupees from selling tractor repair.",51,65,25,30
"Last month, Invested 47397 for purchasing tomato plants.",42,55,21,26
"On Monday, Received 15030 rupees from selling wheat seeds.",46,57,20,25
"Early morning, Harvest of organic compost brought in 35542 INR.",26,41,53,58
"Today, Cost of poultry feed amounted to 6613 rupees.",15,27,40,44
"Recently, Invested 35762 for purchasing duck feed.",40,49,19,24
"During the season, The expense for poultry feed was 3878 rupees.",35,47,52,56
"On Monday, Around noon, I spent 24273 rupees on banana plants.",48,61,32,37
"Early morning, Used 21811 rupees to buy solar water pump.",40,56,20,25
"On Monday, Around noon, I spent 36361 rupees on tomato plants.",48,61,32,37
"Yesterday, Acquired tomato plants by paying 3952 rupees.",20,33,44,48
"Recently, Harvested banana plants and sold for 15275 rupees.",20,33,47,52
"Just now, The expense for wheat seeds was 23797 rupees.",26,37,42,47
Bought coconut trees today and paid 47352 rupees.,7,20,36,41
"Yesterday, I gave 7655 rupees as investment for rice seeds.",48,58,18,22
"During the season, I gave 24895 rupees as investment for poultry feed.",57,69,26,31
"Just now, I gave 30227 rupees as investment for irrigation pipe.",48,63,17,22
"On Monday, Purchased pesticide at 22169 rupees.",21,30,34,39
"Today, I gave 14868 rupees as investment for onion seeds.",45,56,14,19
Used 1062 rupees to buy solar water pump.,24,40,5,9
"Last month, Amount paid for jamun saplings was 16759 rupees.",28,42,47,52
"Early morning, Bought irrigation pipe today and paid 42119 rupees.",22,37,53,58
"Last month, I gave 15419 rupees as investment for jamun saplings.",50,64,19,24
"Today, I gave 11612 rupees as investment for coconut trees.",45,58,14,19
"During the season, Cost of poultry feed amounted to 25782 rupees.",27,39,52,57
"Early morning, Amount paid for pesticide was 30357 rupees.",31,40,45,50
"On Monday, Received 27995 rupees from selling organic compost.",46,61,20,25
"On Monday, Received 15275 rupees from selling rice seeds.",46,56,20,25
"In the evening, Received 31807 rupees from selling harvesting machine.",51,69,25,30
"Recently, Harvested tractor repair and sold for 25782 rupees.",20,34,48,53
"Last week, tractor repair was sold for 28834 rupees.",11,25,39,44
"In the evening, Spent 49649 INR on purchasing irrigation pipe for my farm.",46,61,22,27
"Yesterday, Cost of wheat seeds amounted to 724 rupees.",19,30,43,46
"During the season, The cost of onion seeds was 1486 rupees.",31,42,47,51
"On Monday, The cost of tomato plants was 27690 rupees.",23,36,41,46
"On Monday, I spent 26096 rupees on organic compost last month.",35,50,19,24
"During the season, Harvested coconut trees and sold for 23486 rupees.",29,42,56,61
Cost of cow amounted to 35700 rupees.,8,11,24,29
"Early morning, Harvested irrigation pipe and sold for 23198 rupees.",25,40,54,59
"Just now, The expense for harvesting machine was 40487 rupees.",26,44,49,54
"Last month, Paid 4287 rupees to buy onion seeds.",36,47,17,21
"On Monday, I gave 31606 rupees as investment for pesticide.",49,58,18,23
"Early morning, Acquired goat by paying 2520 rupees.",24,28,39,43
"Last month, Cost of mango saplings amounted to 19960 rupees.",20,34,47,52
"Early morning, Around noon, I spent 15166 rupees on rice seeds.",52,62,36,41
"Last week, coconut trees was sold for 46308 rupees.",11,24,38,43
"On Monday, Around noon, I spent 48853 rupees on greenhouse setup.",48,64,32,37
"In the evening, Harvested poultry feed and sold for 6845 rupees.",26,38,52,56
"In the evening, Acquired tractor repair by paying 160 rupees.",25,39,50,53
"Today, Harvest of tractor repair brought in 13598 INR.",18,32,44,49
"Yesterday, Around noon, I spent 4310 rupees on duck feed.",47,56,32,36
"Yesterday, Spent 39825 INR on purchasing coconut trees for my farm.",41,54,17,22
Harvest of organic compost brought in 9187 INR.,11,26,38,42
"Last month, Harvested coconut trees and sold for 49467 rupees.",22,35,49,54
"During the season, I spent 44240 rupees on mango saplings last month.",43,57,27,32
The cost of rice seeds was 46616 rupees.,12,22,27,32
"On Monday, Received 38420 rupees from selling onion seeds.",46,57,20,25
"Recently, Paid 43610 rupees to buy duck feed.",35,44,15,20
"Last month, I gave 34046 rupees as investment for pesticide.",50,59,19,24
"Last month, Paid 41926 rupees to buy mango saplings.",37,51,17,22
"On Monday, The cost of cow was 35762 rupees.",23,26,31,36
"Just now, Spent 34404 INR on purchasing solar water pump for my farm.",40,56,16,21
I spent 42028 rupees on wheat seeds last month.,24,35,8,13
"Last month, Around noon, I spent 33976 rupees on mango saplings.",49,63,33,38
"Early morning, Paid 12173 rupees to buy solar water pump.",40,56,20,25
"Yesterday, Spent 26707 INR on purchasing onion seeds for my farm.",41,52,17,22
"Early morning, The expense for mango saplings was 476 rupees.",31,45,50,53
The cost of jamun saplings was 41098 rupees.,12,26,31,36
"Yesterday, I spent 13952 rupees on mango saplings last month.",35,49,19,24
"Today, Paid 32674 rupees to buy poultry feed.",32,44,12,17
"During the season, Bought pesticide today and paid 42253 rupees.",26,35,51,56
"Yesterday, Spent 17192 INR on purchasing duck feed for my farm.",41,50,17,22
"Yesterday, Harvest of banana plants brought in 15679 INR.",22,35,47,52
"Just now, Harvest of rice seeds brought in 33142 INR.",21,31,43,48
"Early morning, The cost of greenhouse setup was 42819 rupees.",27,43,48,53
"On Monday, Spent 26561 INR on purchasing fertilizer for my farm.",41,51,17,22
"In the evening, Used 41339 rupees to buy duck feed.",41,50,21,26
"Today, Last week, solar water pump was sold for 11054 rupees.",18,34,48,53
"Just now, Last week, fertilizer was sold for 28064 rupees.",21,31,45,50
"Just now, The expense for cow was 32921 rupees.",26,29,34,39
Amount paid for tractor repair was 16933 rupees.,16,30,35,40
"Recently, Last week, pesticide was sold for 49055 rupees.",21,30,44,49
Acquired coconut trees by paying 33038 rupees.,9,22,33,38
"Today, I invested 39129 rupees for buying tractor repair.",42,56,18,23
"In the evening, Cost of jamun saplings amounted to 25944 rupees.",24,38,51,56
"On Monday, Sold poultry feed in the market and earned 33238 rupees.",16,28,54,59
"Yesterday, I gave 19143 rupees as investment for fertilizer.",49,59,18,23
Spent 49300 INR on purchasing poultry feed for my farm.,30,42,6,11
"Yesterday, Used 29719 rupees to buy poultry feed.",36,48,16,21
"Today, Bought organic compost today and paid 27995 rupees.",14,29,45,50
"During the season, The cost of greenhouse setup was 5577 rupees.",31,47,52,56
"Last month, Bought wheat seeds today and paid 21098 rupees.",19,30,46,51
"Yesterday, Sold tractor repair in the market and earned 46519 rupees.",16,30,56,61
